"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Gio Urshela","MIN","118","511","474","128","29","1","16","59","64","28","106","4","1","0","",".270",".314",".437",".751",".322","","-0.9","-1.2","","1.9","","332.4","10681"
"David Fletcher","LAA","149","644","595","164","31","3","6","76","50","39","62","2","12","3","",".275",".321",".367",".688",".301","","-0.5","0.8","","1.9","","440.8","17992"
"Brendan Rodgers","COL","128","553","512","143","29","4","21","68","72","29","111","8","1","1","",".280",".326",".473",".799",".341","","0.2","-0.6","","1.9","","167.3","17907"
"Alejandro Kirk","TOR","86","349","308","82","19","0","14","45","46","33","49","4","1","0","",".265",".340",".468",".808",".346","","-0.6","-0.4","","1.9","","213.9","22581"
"Andy Ibáñez","TEX","115","497","453","120","24","2","15","60","56","34","79","4","2","2","",".265",".320",".429",".749",".322","","1.7","-1.1","","1.9","","557.3","18819"
"Akil Baddoo","DET","130","560","497","126","24","8","17","73","64","56","139","2","20","5","",".253",".329",".435",".764",".328","","-1.7","1.7","","1.9","","153.1","22168"
"Amed Rosario","CLE","133","574","535","148","26","6","13","71","61","30","113","3","13","4","",".276",".316",".420",".737",".317","","-1.6","1.1","","1.9","","173.6","15518"
"Jorge Soler","MIA","146","630","544","127","27","0","33","82","84","72","167","8","1","0","",".233",".329",".465",".794",".340","","-3.0","-1.6","","1.9","","193.4","14221"
"Omar Narváez","MIL","99","392","344","86","15","0","11","44","43","39","78","5","0","0","",".251",".333",".394",".726",".317","","-1.3","-0.8","","1.9","","254.6","13338"
"Jonathan Schoop","DET","141","609","565","149","27","2","23","76","75","30","123","8","2","0","",".265",".309",".440",".749",".320","","-2.7","-0.2","","1.9","","219.6","11265"
"Riley Greene","DET","87","378","338","89","15","4","14","49","46","32","102","4","6","1","",".262",".330",".452",".782",".335","","-1.9","0.4","","1.8","","301.0","sa3010694"
